,train,val,test
0,slide1,slide32,slide5
1,slide2,slide42,slide19
2,slide3,slide54,slide20
3,slide4,slide75,slide50
4,slide6,slide81,slide62
5,slide7,slide82,slide67
6,slide10,slide90,slide89
7,slide11,slide92,slide121
8,slide12,slide95,slide127
9,slide13,slide102,slide133
10,slide14,slide111,slide142
11,slide15,slide139,slide143
12,slide16,slide149,slide145
13,slide17,slide152,slide157
14,slide18,slide154,slide175
15,slide21,slide159,slide212
16,slide22,slide164,slide218
17,slide23,slide178,slide238
18,slide24,slide187,slide243
19,slide25,slide199,slide261
20,slide26,slide200,slide284
21,slide27,slide204,slide288
22,slide28,slide208,slide308
23,slide29,slide259,slide322
24,slide30,slide265,slide327
25,slide31,slide267,slide339
26,slide33,slide273,slide344
27,slide34,slide274,slide345
28,slide35,slide277,slide352
29,slide36,slide287,slide357
30,slide37,slide318,slide364
31,slide38,slide320,slide367
32,slide39,slide351,slide371
33,slide40,slide355,slide374
34,slide41,slide360,slide377
35,slide43,slide369,slide386
36,slide44,slide370,slide390
37,slide45,slide376,slide415
38,slide46,slide387,slide417
39,slide47,slide392,slide426
40,slide48,slide395,slide430
41,slide49,slide413,slide435
42,slide51,slide431,slide445
43,slide52,slide434,slide455
44,slide53,slide457,slide462
45,slide55,slide465,slide463
46,slide56,slide480,slide464
47,slide57,slide489,slide473
48,slide58,slide494,slide475
49,slide59,slide495,slide483
50,slide60,slide499,slide493
51,slide61,slide509,slide496
52,slide63,slide517,slide511
53,slide64,slide529,slide513
54,slide65,slide533,slide516
55,slide66,slide538,slide523
56,slide68,slide547,slide525
57,slide69,slide555,slide528
58,slide70,slide562,slide551
59,slide71,slide576,slide556
60,slide72,slide608,slide561
61,slide73,slide613,slide578
62,slide74,slide617,slide597
63,slide76,slide622,slide599
64,slide100,slide640,slide604
65,slide101,slide641,slide606
66,slide103,slide651,slide614
67,slide104,slide654,slide625
68,slide105,slide662,slide653
69,slide106,slide663,slide668
70,slide107,slide680,slide669
71,slide108,slide683,slide670
72,slide109,slide708,slide681
73,slide110,slide729,slide694
74,slide112,slide740,slide697
75,slide113,slide748,slide718
76,slide114,slide752,slide726
77,slide115,slide761,slide732
78,slide116,slide785,slide737
79,slide117,slide792,slide738
80,slide118,slide800,slide768
81,slide119,slide808,slide780
82,slide120,slide819,slide786
83,slide122,slide832,slide807
84,slide123,slide847,slide809
85,slide124,slide849,slide826
86,slide125,slide856,slide837
87,slide126,slide864,slide852
88,slide128,slide873,slide853
