,train,val,test
0,slide4,slide2,slide1
1,slide5,slide12,slide3
2,slide6,slide23,slide10
3,slide11,slide65,slide29
4,slide13,slide70,slide43
5,slide14,slide85,slide53
6,slide15,slide95,slide64
7,slide16,slide98,slide69
8,slide17,slide119,slide75
9,slide18,slide126,slide89
10,slide19,slide128,slide100
11,slide20,slide133,slide101
12,slide21,slide138,slide140
13,slide22,slide141,slide174
14,slide24,slide146,slide175
15,slide25,slide153,slide182
16,slide26,slide154,slide196
17,slide27,slide169,slide199
18,slide28,slide178,slide203
19,slide30,slide189,slide206
20,slide31,slide200,slide207
21,slide32,slide214,slide209
22,slide33,slide222,slide211
23,slide34,slide230,slide229
24,slide35,slide241,slide236
25,slide36,slide242,slide246
26,slide37,slide261,slide271
27,slide38,slide264,slide276
28,slide39,slide284,slide294
29,slide40,slide325,slide306
30,slide41,slide338,slide309
31,slide42,slide339,slide314
32,slide44,slide340,slide321
33,slide45,slide360,slide323
34,slide46,slide363,slide366
35,slide47,slide371,slide378
36,slide48,slide372,slide396
37,slide49,slide383,slide409
38,slide50,slide398,slide411
39,slide51,slide400,slide416
40,slide52,slide405,slide439
41,slide54,slide432,slide441
42,slide55,slide437,slide444
43,slide56,slide442,slide450
44,slide57,slide447,slide452
45,slide58,slide490,slide457
46,slide59,slide494,slide462
47,slide60,slide497,slide473
48,slide61,slide498,slide491
49,slide62,slide499,slide493
50,slide63,slide502,slide503
51,slide102,slide505,slide531
52,slide103,slide512,slide537
53,slide104,slide514,slide543
54,slide105,slide533,slide550
55,slide106,slide540,slide552
56,slide107,slide542,slide560
57,slide108,slide548,slide567
58,slide109,slide561,slide584
59,slide110,slide565,slide591
60,slide111,slide590,slide594
61,slide112,slide595,slide597
62,slide113,slide600,slide598
63,slide114,slide606,slide599
64,slide115,slide632,slide601
65,slide116,slide650,slide612
66,slide117,slide685,slide629
67,slide118,slide694,slide635
68,slide120,slide703,slide636
69,slide121,slide709,slide637
70,slide122,slide714,slide644
71,slide123,slide761,slide648
72,slide124,slide771,slide649
73,slide125,slide784,slide671
74,slide127,slide785,slide676
75,slide129,slide788,slide682
76,slide130,slide794,slide684
77,slide131,slide818,slide708
78,slide132,slide820,slide724
79,slide134,slide825,slide726
80,slide135,slide837,slide751
81,slide136,slide842,slide752
82,slide137,slide850,slide755
83,slide139,slide864,slide806
84,slide142,slide875,slide812
85,slide143,slide900,slide813
86,slide144,slide907,slide823
87,slide145,slide928,slide841
88,slide147,slide932,slide845
89,slide148,slide937,slide869
90,slide149,slide939,slide882
91,slide150,slide955,slide885
92,slide151,slide958,slide902
93,slide152,slide978,slide914
94,slide155,slide993,slide936
95,slide156,slide1005,slide942
96,slide157,slide1009,slide951
97,slide158,slide1027,slide973
98,slide159,slide1029,slide986
99,slide160,slide1033,slide987
100,slide161,slide1035,slide996
101,slide162,slide1039,slide998
102,slide163,slide1043,slide1000
103,slide164,slide1049,slide1017
104,slide165,slide1054,slide1042
105,slide166,slide1056,slide1046
106,slide167,,
107,slide168,,
108,slide170,,
109,slide171,,
110,slide172,,
111,slide173,,
112,slide176,,
113,slide177,,
114,slide179,,
115,slide180,,
116,slide181,,
117,slide183,,
118,slide184,,
119,slide185,,
120,slide186,,
121,slide187,,
122,slide188,,
123,slide190,,
124,slide191,,
125,slide192,,
126,slide193,,
127,slide194,,
128,slide195,,
129,slide197,,
130,slide198,,
131,slide201,,
132,slide202,,
133,slide204,,
134,slide205,,
135,slide208,,
136,slide210,,
137,slide212,,
138,slide213,,
139,slide215,,
140,slide216,,
141,slide217,,
142,slide218,,
143,slide219,,
144,slide220,,
145,slide221,,
146,slide223,,
147,slide224,,
148,slide225,,
149,slide226,,
150,slide227,,
151,slide228,,
152,slide231,,
153,slide232,,
154,slide233,,
155,slide234,,
156,slide235,,
157,slide237,,
158,slide238,,
159,slide239,,
160,slide240,,
161,slide243,,
162,slide244,,
163,slide245,,
164,slide247,,
165,slide248,,
166,slide249,,
167,slide250,,
168,slide251,,
169,slide252,,
170,slide253,,
171,slide254,,
172,slide255,,
173,slide256,,
174,slide257,,
175,slide258,,
176,slide259,,
177,slide260,,
178,slide262,,
179,slide263,,
180,slide265,,
181,slide266,,
182,slide267,,
183,slide268,,
184,slide269,,
185,slide270,,
186,slide272,,
187,slide273,,
188,slide274,,
189,slide275,,
190,slide277,,
191,slide278,,
192,slide279,,
193,slide280,,
194,slide281,,
195,slide282,,
196,slide283,,
197,slide285,,
198,slide286,,
199,slide287,,
200,slide288,,
201,slide289,,
202,slide290,,
203,slide291,,
204,slide292,,
205,slide293,,
206,slide295,,
207,slide296,,
208,slide297,,
209,slide298,,
210,slide299,,
211,slide300,,
212,slide301,,
213,slide302,,
214,slide303,,
215,slide304,,
216,slide305,,
217,slide307,,
218,slide308,,
219,slide310,,
220,slide311,,
221,slide312,,
222,slide313,,
223,slide315,,
224,slide316,,
225,slide317,,
226,slide318,,
227,slide319,,
228,slide320,,
229,slide322,,
230,slide324,,
231,slide326,,
232,slide327,,
233,slide328,,
234,slide329,,
235,slide330,,
236,slide331,,
237,slide332,,
238,slide333,,
239,slide334,,
240,slide335,,
241,slide336,,
242,slide337,,
243,slide341,,
244,slide342,,
245,slide343,,
246,slide344,,
247,slide345,,
248,slide346,,
249,slide347,,
250,slide348,,
251,slide349,,
252,slide350,,
253,slide351,,
254,slide352,,
255,slide353,,
256,slide354,,
257,slide355,,
258,slide356,,
259,slide357,,
260,slide358,,
261,slide359,,
262,slide361,,
263,slide362,,
264,slide364,,
265,slide365,,
266,slide367,,
267,slide368,,
268,slide369,,
269,slide370,,
270,slide373,,
271,slide374,,
272,slide375,,
273,slide376,,
274,slide377,,
275,slide379,,
276,slide380,,
277,slide381,,
278,slide382,,
279,slide384,,
280,slide385,,
281,slide386,,
282,slide387,,
283,slide388,,
284,slide389,,
285,slide390,,
286,slide391,,
287,slide392,,
288,slide393,,
289,slide394,,
290,slide395,,
291,slide397,,
292,slide399,,
293,slide401,,
294,slide402,,
295,slide403,,
296,slide404,,
297,slide406,,
298,slide407,,
299,slide408,,
300,slide410,,
301,slide412,,
302,slide413,,
303,slide414,,
304,slide415,,
305,slide417,,
306,slide418,,
307,slide419,,
308,slide420,,
309,slide421,,
310,slide422,,
311,slide423,,
312,slide424,,
313,slide425,,
314,slide426,,
315,slide427,,
316,slide428,,
317,slide429,,
318,slide430,,
319,slide431,,
320,slide433,,
321,slide434,,
322,slide435,,
323,slide436,,
324,slide438,,
325,slide440,,
326,slide443,,
327,slide445,,
328,slide446,,
329,slide448,,
330,slide449,,
331,slide451,,
332,slide453,,
333,slide454,,
334,slide455,,
335,slide456,,
336,slide458,,
337,slide459,,
338,slide460,,
339,slide461,,
340,slide463,,
341,slide464,,
342,slide465,,
343,slide466,,
344,slide467,,
345,slide468,,
346,slide469,,
347,slide470,,
348,slide471,,
349,slide472,,
350,slide474,,
351,slide475,,
352,slide476,,
353,slide477,,
354,slide478,,
355,slide479,,
356,slide480,,
357,slide481,,
358,slide482,,
359,slide483,,
360,slide484,,
361,slide485,,
362,slide486,,
363,slide487,,
364,slide488,,
365,slide489,,
366,slide492,,
367,slide495,,
368,slide496,,
369,slide500,,
370,slide501,,
371,slide504,,
372,slide506,,
373,slide507,,
374,slide508,,
375,slide509,,
376,slide510,,
377,slide511,,
378,slide513,,
379,slide515,,
380,slide516,,
381,slide517,,
382,slide518,,
383,slide519,,
384,slide520,,
385,slide521,,
386,slide522,,
387,slide523,,
388,slide524,,
389,slide525,,
390,slide526,,
391,slide527,,
392,slide528,,
393,slide529,,
394,slide530,,
395,slide532,,
396,slide534,,
397,slide535,,
398,slide536,,
399,slide538,,
400,slide539,,
401,slide541,,
402,slide544,,
403,slide545,,
404,slide546,,
405,slide547,,
406,slide549,,
407,slide551,,
408,slide553,,
409,slide554,,
410,slide555,,
411,slide556,,
412,slide557,,
413,slide558,,
414,slide559,,
415,slide562,,
416,slide563,,
417,slide564,,
418,slide566,,
419,slide568,,
420,slide569,,
421,slide570,,
422,slide571,,
423,slide572,,
424,slide573,,
425,slide574,,
426,slide575,,
427,slide576,,
428,slide577,,
429,slide578,,
430,slide579,,
431,slide580,,
432,slide581,,
433,slide582,,
434,slide583,,
435,slide585,,
436,slide586,,
437,slide587,,
438,slide588,,
439,slide589,,
440,slide592,,
441,slide593,,
442,slide596,,
443,slide602,,
444,slide603,,
445,slide604,,
446,slide605,,
447,slide607,,
448,slide608,,
449,slide609,,
450,slide610,,
451,slide611,,
452,slide613,,
453,slide614,,
454,slide615,,
455,slide616,,
456,slide617,,
457,slide618,,
458,slide620,,
459,slide621,,
460,slide623,,
461,slide627,,
462,slide628,,
463,slide633,,
464,slide1001,,
465,slide1002,,
466,slide1003,,
467,slide1004,,
468,slide1006,,
469,slide1007,,
470,slide1008,,
471,slide1010,,
472,slide1011,,
473,slide1012,,
474,slide1013,,
475,slide1014,,
476,slide1015,,
477,slide1016,,
478,slide1018,,
479,slide1019,,
480,slide1020,,
481,slide1021,,
482,slide1022,,
483,slide1023,,
484,slide1024,,
485,slide1025,,
486,slide1026,,
487,slide1028,,
488,slide1030,,
489,slide1031,,
490,slide1032,,
491,slide1034,,
492,slide1036,,
493,slide1037,,
494,slide1038,,
495,slide1040,,
496,slide1041,,
497,slide1044,,
498,slide1045,,
499,slide1047,,
500,slide1048,,
501,slide1050,,
502,slide1051,,
503,slide1052,,
504,slide1053,,
505,slide1055,,
506,slide1057,,
507,slide1058,,
