,train,val,test
0,slide1,slide487,slide260
1,slide10,slide219,slide681
2,slide100,slide1045,slide155
3,slide1000,slide486,slide203
4,slide1001,slide337,slide354
5,slide1003,slide805,slide762
6,slide1004,slide394,slide672
7,slide1008,slide689,slide782
8,slide1009,slide493,slide602
9,slide101,slide862,slide771
10,slide1011,slide887,slide515
11,slide1013,slide853,slide1017
12,slide1015,slide1042,slide836
13,slide1016,slide271,slide11
14,slide1018,slide54,slide979
15,slide1019,slide138,slide390
16,slide102,slide418,slide81
17,slide1022,slide671,slide183
18,slide1023,slide199,slide744
19,slide1027,slide963,slide803
20,slide1028,slide940,slide245
21,slide1029,slide512,slide873
22,slide1030,slide21,slide749
23,slide1032,slide796,slide1007
24,slide1033,slide654,slide556
25,slide1034,slide858,slide877
26,slide1035,slide891,slide293
27,slide1036,slide253,slide974
28,slide1037,slide239,slide666
29,slide1039,slide332,slide237
30,slide104,slide778,slide567
31,slide1040,slide550,slide80
32,slide1041,slide16,slide22
33,slide1043,slide621,slide756
34,slide1047,slide520,slide801
35,slide1049,slide263,slide42
36,slide105,slide1021,slide300
37,slide1051,slide818,slide534
38,slide1053,slide757,slide650
39,slide1056,slide930,slide136
40,slide1058,slide767,slide998
41,slide108,slide296,slide131
42,slide109,slide641,slide1054
43,slide111,slide470,slide888
44,slide113,slide1012,slide474
45,slide114,slide1005,slide568
46,slide115,slide937,slide41
47,slide116,slide329,slide761
48,slide117,slide254,slide312
49,slide119,slide970,slide147
50,slide12,slide325,slide432
51,slide125,slide1055,slide683
52,slide126,slide66,slide1024
53,slide127,slide833,slide658
54,slide128,slide322,slide776
55,slide13,slide684,slide911
56,slide130,slide884,slide524
57,slide132,slide560,slide786
58,slide133,slide1006,slide53
59,slide134,slide978,slide746
60,slide139,slide184,slide423
61,slide140,slide850,slide817
62,slide141,slide50,slide426
63,slide142,slide400,slide476
64,slide146,slide538,slide989
65,slide148,slide352,slide628
66,slide150,slide39,slide247
67,slide153,slide112,slide976
68,slide156,slide123,slide1026
69,slide157,slide3,slide164
70,slide158,slide649,slide611
71,slide159,slide1025,slide727
72,slide160,slide699,slide705
73,slide161,slide624,slide845
74,slide162,slide592,slide555
75,slide167,slide966,slide630
76,slide168,slide724,slide900
77,slide17,slide35,slide450
78,slide175,slide788,slide943
79,slide176,slide700,slide922
80,slide178,slide286,slide1002
81,slide179,slide1031,slide72
82,slide18,slide686,slide96
83,slide181,slide870,slide314
84,slide185,slide914,slide637
85,slide187,slide913,slide533
86,slide188,slide881,slide320
87,slide189,slide707,slide48
88,slide190,slide516,slide664
89,slide192,slide165,slide174
90,slide193,slide954,slide639
91,slide194,slide694,slide276
92,slide195,slide632,slide163
93,slide196,slide952,slide365
94,slide197,slide233,slide509
95,slide198,slide339,slide735
96,slide20,slide485,slide929
97,slide201,slide813,slide460
98,slide204,slide431,slide217
99,slide205,slide228,slide977
100,slide206,slide948,slide88
101,slide207,slide965,slide536
102,slide208,slide210,slide936
103,slide209,slide103,slide962
104,slide214,slide597,slide330
105,slide215,slide599,slide374
106,slide220,,
107,slide222,,
108,slide225,,
109,slide227,,
110,slide23,,
111,slide234,,
112,slide235,,
113,slide24,,
114,slide240,,
115,slide241,,
116,slide242,,
117,slide244,,
118,slide249,,
119,slide252,,
120,slide255,,
121,slide257,,
122,slide258,,
123,slide261,,
124,slide262,,
125,slide265,,
126,slide268,,
127,slide270,,
128,slide272,,
129,slide273,,
130,slide274,,
131,slide275,,
132,slide277,,
133,slide278,,
134,slide28,,
135,slide280,,
136,slide281,,
137,slide282,,
138,slide283,,
139,slide285,,
140,slide287,,
141,slide288,,
142,slide289,,
143,slide29,,
144,slide290,,
145,slide291,,
146,slide292,,
147,slide294,,
148,slide295,,
149,slide297,,
150,slide298,,
151,slide299,,
152,slide30,,
153,slide303,,
154,slide305,,
155,slide311,,
156,slide313,,
157,slide316,,
158,slide317,,
159,slide318,,
160,slide319,,
161,slide32,,
162,slide323,,
163,slide324,,
164,slide327,,
165,slide328,,
166,slide33,,
167,slide331,,
168,slide335,,
169,slide338,,
170,slide340,,
171,slide342,,
172,slide343,,
173,slide345,,
174,slide349,,
