,train,val,test
0,slide1,slide410,slide942
1,slide10,slide426,slide486
2,slide100,slide328,slide340
3,slide1000,slide937,slide730
4,slide1004,slide436,slide912
5,slide1005,slide241,slide278
6,slide1006,slide382,slide183
7,slide1007,slide97,slide779
8,slide1008,slide534,slide437
9,slide1009,slide991,slide1032
10,slide101,slide1003,slide884
11,slide1011,slide195,slide388
12,slide1012,slide498,slide911
13,slide1013,slide385,slide950
14,slide1015,slide265,slide411
15,slide1016,slide763,slide544
16,slide1017,slide848,slide979
17,slide1018,slide475,slide675
18,slide1019,slide841,slide205
19,slide102,slide476,slide441
20,slide1022,slide718,slide283
21,slide1023,slide270,slide207
22,slide1024,slide945,slide440
23,slide1027,slide704,slide528
24,slide1029,slide275,slide682
25,slide1030,slide520,slide809
26,slide1033,slide261,slide791
27,slide1034,slide1045,slide119
28,slide1035,slide503,slide65
29,slide1036,slide946,slide561
30,slide1037,slide554,slide70
31,slide1039,slide401,slide850
32,slide104,slide1021,slide397
33,slide1040,slide62,slide1028
34,slide1041,slide294,slide55
35,slide1042,slide797,slide854
36,slide1043,slide219,slide658
37,slide1047,slide77,slide1001
38,slide1049,slide453,slide519
39,slide105,slide1053,slide909
40,slide1054,slide868,slide641
41,slide1055,slide463,slide449
42,slide1056,slide494,slide853
43,slide1058,slide432,slide613
44,slide108,slide117,slide607
45,slide109,slide469,slide621
46,slide11,slide353,slide349
47,slide111,slide903,slide433
48,slide113,slide981,slide379
49,slide114,slide71,slide972
50,slide115,slide666,slide673
51,slide116,slide208,slide924
52,slide12,slide524,slide840
53,slide125,slide964,slide775
54,slide126,slide421,slide886
55,slide127,slide59,slide317
56,slide128,slide896,slide739
57,slide13,slide414,slide184
58,slide130,slide877,slide543
59,slide131,slide1051,slide667
60,slide132,slide810,slide468
61,slide133,slide908,slide567
62,slide134,slide146,slide345
63,slide136,slide584,slide522
64,slide138,slide288,slide407
65,slide139,slide696,slide918
66,slide140,slide829,slide135
67,slide141,slide576,slide509
68,slide142,slide151,slide814
69,slide147,slide417,slide402
70,slide148,slide619,slide784
71,slide150,slide971,slide172
72,slide153,slide533,slide320
73,slide155,slide632,slide748
74,slide156,slide595,slide174
75,slide157,slide344,slide729
76,slide158,slide594,slide48
77,slide159,slide373,slide895
78,slide16,slide393,slide785
79,slide160,slide359,slide445
80,slide161,slide229,slide438
81,slide162,slide993,slide798
82,slide167,slide1025,slide955
83,slide168,slide977,slide555
84,slide17,slide996,slide107
85,slide175,slide251,slide867
86,slide176,slide307,slide279
87,slide178,slide74,slide365
88,slide179,slide831,slide947
89,slide18,slide26,slide425
90,slide181,slide94,slide562
91,slide185,slide308,slide881
92,slide187,slide907,slide606
93,slide188,slide485,slide306
94,slide189,slide605,slide615
95,slide190,slide357,slide269
96,slide192,slide166,slide962
97,slide193,slide642,slide722
98,slide194,slide723,slide177
99,slide196,slide871,slide457
100,slide197,slide1031,slide428
101,slide198,slide238,slide685
102,slide199,slide1052,slide936
103,slide20,slide604,slide506
104,slide201,slide442,slide366
105,slide203,slide79,slide495
106,slide204,,
107,slide206,,
108,slide209,,
109,slide21,,
110,slide214,,
111,slide215,,
112,slide22,,
113,slide220,,
114,slide222,,
115,slide225,,
116,slide227,,
117,slide23,,
118,slide234,,
119,slide235,,
120,slide237,,
121,slide239,,
122,slide24,,
123,slide240,,
124,slide242,,
125,slide244,,
126,slide245,,
127,slide249,,
128,slide252,,
129,slide253,,
130,slide254,,
131,slide255,,
132,slide257,,
133,slide258,,
134,slide260,,
135,slide262,,
136,slide263,,
137,slide268,,
138,slide271,,
139,slide272,,
140,slide273,,
141,slide274,,
142,slide277,,
143,slide28,,
144,slide280,,
145,slide281,,
146,slide282,,
147,slide285,,
148,slide287,,
149,slide289,,
150,slide29,,
151,slide290,,
152,slide291,,
153,slide292,,
154,slide293,,
155,slide295,,
156,slide296,,
157,slide297,,
158,slide298,,
159,slide299,,
160,slide30,,
161,slide300,,
162,slide303,,
163,slide305,,
164,slide311,,
165,slide312,,
166,slide313,,
167,slide316,,
168,slide318,,
169,slide319,,
170,slide32,,
171,slide322,,
172,slide323,,
173,slide324,,
174,slide325,,
175,slide327,,
176,slide329,,
177,slide33,,
178,slide331,,
179,slide332,,
180,slide335,,
181,slide337,,
182,slide338,,
183,slide342,,
184,slide343,,
185,slide350,,
186,slide351,,
187,slide352,,
188,slide354,,
189,slide355,,
190,slide356,,
191,slide36,,
192,slide360,,
193,slide361,,
194,slide363,,
195,slide364,,
196,slide367,,
197,slide369,,
198,slide370,,
199,slide371,,
200,slide376,,
201,slide377,,
202,slide378,,
203,slide380,,
204,slide384,,
205,slide390,,
206,slide392,,
207,slide394,,
208,slide395,,
209,slide396,,
210,slide399,,
211,slide4,,
212,slide40,,
213,slide400,,
214,slide405,,
215,slide406,,
216,slide41,,
217,slide412,,
218,slide413,,
219,slide415,,
220,slide416,,
221,slide418,,
222,slide419,,
223,slide42,,
224,slide422,,
225,slide423,,
226,slide424,,
227,slide427,,
228,slide429,,
229,slide43,,
230,slide430,,
231,slide439,,
232,slide44,,
233,slide444,,
234,slide446,,
235,slide447,,
236,slide45,,
237,slide451,,
238,slide452,,
239,slide454,,
240,slide455,,
241,slide459,,
242,slide46,,
243,slide462,,
244,slide465,,
245,slide466,,
246,slide467,,
247,slide47,,
248,slide470,,
249,slide473,,
250,slide474,,
251,slide477,,
252,slide479,,
253,slide480,,
254,slide483,,
255,slide487,,
256,slide488,,
257,slide489,,
258,slide491,,
259,slide493,,
260,slide496,,
261,slide5,,
262,slide50,,
263,slide500,,
264,slide505,,
265,slide508,,
266,slide511,,
267,slide512,,
268,slide513,,
269,slide515,,
270,slide517,,
271,slide518,,
272,slide52,,
273,slide521,,
274,slide525,,
275,slide529,,
276,slide53,,
277,slide530,,
278,slide532,,
279,slide535,,
280,slide538,,
281,slide54,,
282,slide541,,
283,slide546,,
284,slide548,,
285,slide550,,
286,slide552,,
287,slide556,,
288,slide557,,
289,slide558,,
290,slide560,,
291,slide565,,
292,slide566,,
293,slide568,,
294,slide569,,
295,slide57,,
296,slide570,,
297,slide573,,
298,slide578,,
299,slide579,,
300,slide580,,
301,slide581,,
302,slide582,,
303,slide585,,
304,slide587,,
305,slide590,,
306,slide591,,
307,slide596,,
308,slide6,,
309,slide601,,
310,slide602,,
311,slide608,,
312,slide609,,
313,slide610,,
314,slide1002,,
315,slide1010,,
316,slide1014,,
317,slide1020,,
318,slide1026,,
319,slide103,,
320,slide1038,,
321,slide1044,,
322,slide1046,,
323,slide1048,,
324,slide1050,,
325,slide1057,,
326,slide106,,
327,slide110,,
328,slide112,,
329,slide118,,
330,slide120,,
331,slide121,,
332,slide122,,
333,slide123,,
334,slide124,,
335,slide129,,
336,slide137,,
337,slide14,,
338,slide143,,
339,slide144,,
340,slide145,,
341,slide149,,
342,slide15,,
343,slide152,,
344,slide154,,
345,slide163,,
346,slide164,,
347,slide165,,
348,slide169,,
349,slide170,,
350,slide171,,
351,slide173,,
352,slide180,,
353,slide182,,
354,slide186,,
355,slide19,,
356,slide191,,
357,slide2,,
358,slide200,,
359,slide202,,
360,slide210,,
361,slide211,,
362,slide212,,
363,slide213,,
364,slide216,,
365,slide217,,
366,slide218,,
367,slide221,,
368,slide223,,
369,slide224,,
370,slide226,,
371,slide228,,
372,slide230,,
373,slide231,,
374,slide232,,
375,slide233,,
376,slide236,,
377,slide243,,
378,slide246,,
379,slide247,,
380,slide248,,
381,slide25,,
382,slide250,,
383,slide256,,
384,slide259,,
385,slide264,,
386,slide266,,
387,slide267,,
388,slide27,,
389,slide276,,
390,slide284,,
391,slide286,,
392,slide3,,
393,slide301,,
394,slide302,,
395,slide304,,
396,slide309,,
397,slide31,,
398,slide310,,
399,slide314,,
400,slide315,,
401,slide321,,
402,slide326,,
403,slide330,,
404,slide333,,
405,slide334,,
406,slide336,,
407,slide339,,
408,slide34,,
409,slide341,,
410,slide346,,
411,slide347,,
412,slide348,,
413,slide35,,
414,slide358,,
415,slide362,,
416,slide368,,
417,slide37,,
418,slide372,,
419,slide374,,
420,slide375,,
421,slide38,,
422,slide381,,
423,slide383,,
424,slide386,,
425,slide387,,
426,slide389,,
427,slide39,,
428,slide391,,
429,slide398,,
430,slide403,,
431,slide404,,
432,slide408,,
433,slide409,,
434,slide420,,
435,slide431,,
436,slide434,,
437,slide435,,
438,slide443,,
439,slide448,,
440,slide450,,
441,slide456,,
442,slide458,,
443,slide460,,
444,slide461,,
445,slide464,,
446,slide471,,
447,slide472,,
448,slide478,,
449,slide481,,
450,slide482,,
451,slide484,,
452,slide49,,
453,slide490,,
454,slide492,,
455,slide497,,
456,slide499,,
457,slide501,,
458,slide502,,
459,slide504,,
460,slide507,,
461,slide51,,
462,slide510,,
463,slide514,,
464,slide516,,
465,slide523,,
466,slide526,,
467,slide527,,
468,slide531,,
469,slide536,,
470,slide537,,
471,slide539,,
472,slide540,,
473,slide542,,
474,slide545,,
475,slide547,,
476,slide549,,
477,slide551,,
478,slide553,,
479,slide559,,
480,slide56,,
481,slide563,,
482,slide564,,
483,slide571,,
484,slide572,,
485,slide574,,
486,slide575,,
487,slide577,,
488,slide58,,
489,slide583,,
490,slide586,,
491,slide588,,
492,slide589,,
493,slide592,,
494,slide593,,
495,slide597,,
496,slide598,,
497,slide599,,
498,slide60,,
499,slide600,,
500,slide603,,
501,slide61,,
502,slide611,,
503,slide618,,
504,slide622,,
505,slide624,,
506,slide625,,
507,slide626,,
